Date,Warehouse_ID,Product_ID,Product_Name,Category,Brand,Stock_Level,Sales,Reorder_Level
2025-01-01,W001,P001,Tata Salt 1kg,Grocery,Tata,222,21,30
2025-01-01,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,126,16,25
2025-01-01,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,230,23,40
2025-01-01,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,216,15,20
2025-01-01,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,140,-1,30
2025-01-01,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,248,15,40
2025-01-01,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,105,31,30
2025-01-01,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,57,24,35
2025-01-01,W002,P001,Tata Salt 1kg,Grocery,Tata,175,13,30
2025-01-01,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,253,22,25
2025-01-01,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,91,13,40
2025-01-01,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,134,13,20
2025-01-01,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,198,19,30
2025-01-01,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,96,4,40
2025-01-01,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,234,4,30
2025-01-01,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,117,12,35
2025-01-01,W003,P001,Tata Salt 1kg,Grocery,Tata,130,8,30
2025-01-01,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,278,20,25
2025-01-01,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,142,9,40
2025-01-01,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,117,4,20
2025-01-01,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,118,30,30
2025-01-01,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,83,15,40
2025-01-01,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,248,18,30
2025-01-01,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,145,4,35
2025-01-02,W001,P001,Tata Salt 1kg,Grocery,Tata,210,12,30
2025-01-02,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,258,18,25
2025-01-02,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,81,7,40
2025-01-02,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,76,20,20
2025-01-02,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,252,11,30
2025-01-02,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,166,15,40
2025-01-02,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,105,11,30
2025-01-02,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,189,34,35
2025-01-02,W002,P001,Tata Salt 1kg,Grocery,Tata,172,17,30
2025-01-02,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,128,8,25
2025-01-02,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,181,25,40
2025-01-02,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,102,6,20
2025-01-02,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,235,19,30
2025-01-02,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,173,4,40
2025-01-02,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,139,5,30
2025-01-02,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,64,18,35
2025-01-02,W003,P001,Tata Salt 1kg,Grocery,Tata,193,24,30
2025-01-02,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,149,18,25
2025-01-02,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,137,59,40
2025-01-02,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,133,14,20
2025-01-02,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,205,4,30
2025-01-02,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,146,10,40
2025-01-02,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,117,13,30
2025-01-02,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,191,27,35
2025-01-03,W001,P001,Tata Salt 1kg,Grocery,Tata,60,20,30
2025-01-03,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,104,4,25
2025-01-03,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,272,20,40
2025-01-03,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,127,14,20
2025-01-03,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,90,11,30
2025-01-03,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,251,23,40
2025-01-03,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,221,27,30
2025-01-03,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,121,26,35
2025-01-03,W002,P001,Tata Salt 1kg,Grocery,Tata,125,9,30
2025-01-03,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,242,14,25
2025-01-03,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,231,20,40
2025-01-03,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,186,26,20
2025-01-03,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,83,13,30
2025-01-03,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,152,-14,40
2025-01-03,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,88,7,30
2025-01-03,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,293,7,35
2025-01-03,W003,P001,Tata Salt 1kg,Grocery,Tata,126,25,30
2025-01-03,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,84,29,25
2025-01-03,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,210,17,40
2025-01-03,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,259,27,20
2025-01-03,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,228,20,30
2025-01-03,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,188,11,40
2025-01-03,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,227,20,30
2025-01-03,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,152,31,35
2025-01-04,W001,P001,Tata Salt 1kg,Grocery,Tata,90,17,30
2025-01-04,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,163,31,25
2025-01-04,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,194,4,40
2025-01-04,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,168,25,20
2025-01-04,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,87,18,30
2025-01-04,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,257,37,40
2025-01-04,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,279,18,30
2025-01-04,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,199,4,35
2025-01-04,W002,P001,Tata Salt 1kg,Grocery,Tata,102,-7,30
2025-01-04,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,127,20,25
2025-01-04,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,123,30,40
2025-01-04,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,268,12,20
2025-01-04,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,110,9,30
2025-01-04,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,82,12,40
2025-01-04,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,245,26,30
2025-01-04,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,182,20,35
2025-01-04,W003,P001,Tata Salt 1kg,Grocery,Tata,108,12,30
2025-01-04,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,275,22,25
2025-01-04,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,234,18,40
2025-01-04,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,199,26,20
2025-01-04,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,228,10,30
2025-01-04,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,210,14,40
2025-01-04,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,118,14,30
2025-01-04,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,143,4,35
2025-01-05,W001,P001,Tata Salt 1kg,Grocery,Tata,137,19,30
2025-01-05,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,40,58,25
2025-01-05,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,87,18,40
2025-01-05,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,132,15,20
2025-01-05,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,93,4,30
2025-01-05,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,107,13,40
2025-01-05,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,143,14,30
2025-01-05,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,238,9,35
2025-01-05,W002,P001,Tata Salt 1kg,Grocery,Tata,205,16,30
2025-01-05,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,93,21,25
2025-01-05,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,236,34,40
2025-01-05,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,216,18,20
2025-01-05,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,236,19,30
2025-01-05,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,188,17,40
2025-01-05,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,89,4,30
2025-01-05,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,103,47,35
2025-01-05,W003,P001,Tata Salt 1kg,Grocery,Tata,225,18,30
2025-01-05,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,154,39,25
2025-01-05,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,66,16,40
2025-01-05,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,236,20,20
2025-01-05,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,276,17,30
2025-01-05,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,183,7,40
2025-01-05,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,256,27,30
2025-01-05,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,147,24,35
2025-01-06,W001,P001,Tata Salt 1kg,Grocery,Tata,82,24,30
2025-01-06,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,175,9,25
2025-01-06,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,110,30,40
2025-01-06,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,283,4,20
2025-01-06,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,103,22,30
2025-01-06,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,149,36,40
2025-01-06,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,278,9,30
2025-01-06,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,247,12,35
2025-01-06,W002,P001,Tata Salt 1kg,Grocery,Tata,281,18,30
2025-01-06,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,185,12,25
2025-01-06,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,134,4,40
2025-01-06,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,164,18,20
2025-01-06,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,269,8,30
2025-01-06,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,161,21,40
2025-01-06,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,155,9,30
2025-01-06,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,115,31,35
2025-01-06,W003,P001,Tata Salt 1kg,Grocery,Tata,98,49,30
2025-01-06,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,252,14,25
2025-01-06,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,185,25,40
2025-01-06,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,122,6,20
2025-01-06,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,61,19,30
2025-01-06,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,226,29,40
2025-01-06,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,247,4,30
2025-01-06,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,232,18,35
2025-01-07,W001,P001,Tata Salt 1kg,Grocery,Tata,230,19,30
2025-01-07,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,132,24,25
2025-01-07,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,157,6,40
2025-01-07,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,107,5,20
2025-01-07,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,155,22,30
2025-01-07,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,218,19,40
2025-01-07,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,245,48,30
2025-01-07,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,261,20,35
2025-01-07,W002,P001,Tata Salt 1kg,Grocery,Tata,188,11,30
2025-01-07,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,191,19,25
2025-01-07,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,264,19,40
2025-01-07,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,142,10,20
2025-01-07,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,131,34,30
2025-01-07,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,119,21,40
2025-01-07,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,123,7,30
2025-01-07,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,178,23,35
2025-01-07,W003,P001,Tata Salt 1kg,Grocery,Tata,187,9,30
2025-01-07,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,105,24,25
2025-01-07,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,155,27,40
2025-01-07,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,72,9,20
2025-01-07,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,81,26,30
2025-01-07,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,264,21,40
2025-01-07,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,67,25,30
2025-01-07,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,77,34,35
2025-01-08,W001,P001,Tata Salt 1kg,Grocery,Tata,235,15,30
2025-01-08,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,151,10,25
2025-01-08,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,227,9,40
2025-01-08,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,180,9,20
2025-01-08,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,103,17,30
2025-01-08,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,126,20,40
2025-01-08,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,131,19,30
2025-01-08,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,215,25,35
2025-01-08,W002,P001,Tata Salt 1kg,Grocery,Tata,244,18,30
2025-01-08,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,131,30,25
2025-01-08,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,103,15,40
2025-01-08,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,218,42,20
2025-01-08,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,141,23,30
2025-01-08,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,123,9,40
2025-01-08,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,269,8,30
2025-01-08,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,278,21,35
2025-01-08,W003,P001,Tata Salt 1kg,Grocery,Tata,156,46,30
2025-01-08,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,155,24,25
2025-01-08,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,166,21,40
2025-01-08,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,267,17,20
2025-01-08,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,127,9,30
2025-01-08,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,175,4,40
2025-01-08,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,170,13,30
2025-01-08,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,87,25,35
2025-01-09,W001,P001,Tata Salt 1kg,Grocery,Tata,161,19,30
2025-01-09,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,95,6,25
2025-01-09,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,180,18,40
2025-01-09,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,143,20,20
2025-01-09,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,265,9,30
2025-01-09,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,274,18,40
2025-01-09,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,145,55,30
2025-01-09,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,162,7,35
2025-01-09,W002,P001,Tata Salt 1kg,Grocery,Tata,206,40,30
2025-01-09,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,109,22,25
2025-01-09,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,114,27,40
2025-01-09,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,197,27,20
2025-01-09,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,140,5,30
2025-01-09,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,226,9,40
2025-01-09,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,257,22,30
2025-01-09,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,85,22,35
2025-01-09,W003,P001,Tata Salt 1kg,Grocery,Tata,205,22,30
2025-01-09,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,136,45,25
2025-01-09,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,209,22,40
2025-01-09,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,79,27,20
2025-01-09,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,229,26,30
2025-01-09,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,201,23,40
2025-01-09,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,175,14,30
2025-01-09,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,221,24,35
2025-01-10,W001,P001,Tata Salt 1kg,Grocery,Tata,280,10,30
2025-01-10,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,157,15,25
2025-01-10,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,248,13,40
2025-01-10,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,195,18,20
2025-01-10,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,248,38,30
2025-01-10,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,195,4,40
2025-01-10,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,125,23,30
2025-01-10,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,98,4,35
2025-01-10,W002,P001,Tata Salt 1kg,Grocery,Tata,259,13,30
2025-01-10,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,150,27,25
2025-01-10,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,145,18,40
2025-01-10,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,276,8,20
2025-01-10,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,222,10,30
2025-01-10,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,59,23,40
2025-01-10,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,131,10,30
2025-01-10,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,255,19,35
2025-01-10,W003,P001,Tata Salt 1kg,Grocery,Tata,244,18,30
2025-01-10,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,92,11,25
2025-01-10,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,106,36,40
2025-01-10,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,178,23,20
2025-01-10,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,266,4,30
2025-01-10,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,178,18,40
2025-01-10,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,99,11,30
2025-01-10,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,245,25,35
2025-01-11,W001,P001,Tata Salt 1kg,Grocery,Tata,117,10,30
2025-01-11,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,134,16,25
2025-01-11,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,192,22,40
2025-01-11,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,268,25,20
2025-01-11,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,119,6,30
2025-01-11,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,98,14,40
2025-01-11,W001,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,208,13,30
2025-01-11,W001,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,232,11,35
2025-01-11,W002,P001,Tata Salt 1kg,Grocery,Tata,50,33,30
2025-01-11,W002,P002,Colgate Toothpaste 100g,Personal Care,Colgate,171,21,25
2025-01-11,W002,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,138,6,40
2025-01-11,W002,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,264,26,20
2025-01-11,W002,P005,Britannia Marie Biscuits,Snacks,Britannia,191,36,30
2025-01-11,W002,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,91,27,40
2025-01-11,W002,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,97,4,30
2025-01-11,W002,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,262,13,35
2025-01-11,W003,P001,Tata Salt 1kg,Grocery,Tata,210,28,30
2025-01-11,W003,P002,Colgate Toothpaste 100g,Personal Care,Colgate,185,10,25
2025-01-11,W003,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,209,21,40
2025-01-11,W003,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,214,24,20
2025-01-11,W003,P005,Britannia Marie Biscuits,Snacks,Britannia,96,9,30
2025-01-11,W003,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,117,17,40
2025-01-11,W003,P007,Dabur Amla Hair Oil 200ml,Personal Care,Dabur,137,4,30
2025-01-11,W003,P008,Maggi Noodles 2-min 70g,Snacks,Nestle India,72,8,35
2025-01-12,W001,P001,Tata Salt 1kg,Grocery,Tata,185,15,30
2025-01-12,W001,P002,Colgate Toothpaste 100g,Personal Care,Colgate,254,6,25
2025-01-12,W001,P003,Fortune Sunflower Oil 1L,Grocery,Adani Wilmar,66,32,40
2025-01-12,W001,P004,Lux Soap Bar,Personal Care,Hindustan Unilever,277,4,20
2025-01-12,W001,P005,Britannia Marie Biscuits,Snacks,Britannia,272,13,30
2025-01-12,W001,P006,Thums Up Bottle 500ml,Beverage,Coca-Cola India,201,18,40
